GamePk,GameDate,GameTime,PlayerId,FullName,LastName,BatterStand,Side,Team,Opponent,BattingPosition,PlateAppearances,AtBats,Hits,Bases,Strikeouts,Walks,Singles,Doubles,Triples,HomeRuns,RBIs,Runs,StolenBaseAttempts,StolenBaseSuccesses,PointsDK,PointsFD,HomeRunProbability,HitProbability,StolenBaseProbability
823479,2026-04-12,1:35,665561,Rafael Marchan,Marchan,S,H,PHI,ARI,8,3.754,3.344,0.756,1.115,0.584,0.321,0.543,0.137,0.005,0.071,0.396,0.361,0.012,0.009,5.261,6.901,0.069,0.555,0.009
823479,2026-04-12,1:35,666969,Adolis Garcia,Garcia,R,H,PHI,ARI,6,4.027,3.527,0.855,1.402,0.877,0.412,0.543,0.191,0.006,0.114,0.484,0.465,0.123,0.099,6.997,9.218,0.109,0.613,0.093
823479,2026-04-12,1:35,669016,Brandon Marsh,Marsh,L,H,PHI,ARI,4,4.36,3.93,0.945,1.581,1.041,0.329,0.611,0.173,0.02,0.141,0.562,0.505,0.104,0.089,7.503,9.845,0.133,0.639,0.085
823479,2026-04-12,1:35,672695,Geraldo Perdomo,Perdomo,S,A,ARI,PHI,3,4.515,3.748,1.058,1.636,0.564,0.664,0.741,0.172,0.028,0.117,0.525,0.537,0.169,0.14,8.63,11.301,0.113,0.674,0.132
823479,2026-04-12,1:35,677950,Alek Thomas,Thomas,L,A,ARI,PHI,8,3.855,3.533,0.826,1.237,0.928,0.251,0.584,0.145,0.022,0.074,0.385,0.371,0.086,0.067,5.744,7.4,0.07,0.58,0.065
823479,2026-04-12,1:35,678489,Jorge Barrosa,Barrosa,S,A,ARI,PHI,9,3.94,3.552,0.758,1.081,0.982,0.295,0.559,0.135,0.006,0.059,0.333,0.383,0.075,0.06,5.31,6.883,0.057,0.557,0.059
823479,2026-04-12,1:35,681082,Bryson Stott,Stott,L,H,PHI,ARI,5,4.212,3.623,0.878,1.318,0.51,0.481,0.625,0.152,0.016,0.085,0.468,0.493,0.225,0.188,7.438,9.739,0.082,0.607,0.172
823479,2026-04-12,1:35,682998,Corbin Carroll,Carroll,L,A,ARI,PHI,2,4.631,3.912,0.971,1.638,1.093,0.616,0.653,0.115,0.058,0.145,0.493,0.624,0.287,0.23,9.064,11.861,0.134,0.642,0.209
823479,2026-04-12,1:35,694374,Tim Tawa,Tawa,R,A,ARI,PHI,6,4.208,3.679,0.79,1.204,1.076,0.439,0.556,0.145,0.0,0.09,0.418,0.424,0.122,0.1,6.352,8.352,0.086,0.565,0.096
823479,2026-04-12,1:35,699912,Jose Fernandez,Fernandez,R,A,ARI,PHI,4,4.523,4.104,0.905,1.306,1.072,0.315,0.66,0.166,0.0,0.078,0.497,0.4,0.141,0.115,6.596,8.574,0.075,0.622,0.11
